"Appendix 1a. Person-years by State, Sex, and Age Group for 2020",,,
State,Sex,Age Group,2020 Person-years
MA,Male,80-84,25623
MA,Male,85-89,13093
MA,Male,90+,7880
MA,Total,0,117931
MA,Total,1-4,469483
MA,Total,5-9,588137
MA,Total,10-14,655775
MA,Total,15-19,665852
MA,Total,20-24,673929
MA,Total,25-29,603140
MA,Total,30-34,586607
MA,Total,35-39,551936
MA,Total,40-44,472568
MA,Total,45-49,380014
MA,Total,50-54,330209
MA,Total,55-59,275839
MA,Total,60-64,223613
MA,Total,65-69,179004
MA,Total,70-74,131366
MA,Total,75-79,92276
MA,Total,80-84,60070
MA,Total,85-89,31766
MA,Total,90+,21708
MG,Female,0,129611
MG,Female,1-4,518377
MG,Female,5-9,646138
MG,Female,10-14,656644
MG,Female,15-19,733049
MG,Female,20-24,833123
MG,Female,25-29,845790
MG,Female,30-34,852928
MG,Female,35-39,851250
MG,Female,40-44,805145
MG,Female,45-49,718542
MG,Female,50-54,690895
MG,Female,55-59,646293
MG,Female,60-64,556948
MG,Female,65-69,443377
MG,Female,70-74,329227
MG,Female,75-79,231462
MG,Female,80-84,159870
MG,Female,85-89,90385
MG,Female,90+,65148
MG,Male,0,135935
MG,Male,1-4,543522
MG,Male,5-9,676623
MG,Male,10-14,686924
MG,Male,15-19,765050
MG,Male,20-24,858619
MG,Male,25-29,857949
MG,Male,30-34,861412
MG,Male,35-39,841233
MG,Male,40-44,779108
MG,Male,45-49,678401
MG,Male,50-54,645641
MG,Male,55-59,590003
MG,Male,60-64,499949
MG,Male,65-69,385152
MG,Male,70-74,275909
MG,Male,75-79,182525
MG,Male,80-84,117037
MG,Male,85-89,61164
MG,Male,90+,35062
MG,Total,0,265545
MG,Total,1-4,1061899
MG,Total,5-9,1322761
MG,Total,10-14,1343569
MG,Total,15-19,1498098
MG,Total,20-24,1691742
MG,Total,25-29,1703739
MG,Total,30-34,1714339
MG,Total,35-39,1692483
MG,Total,40-44,1584253
MG,Total,45-49,1396943
MG,Total,50-54,1336536
MG,Total,55-59,1236296
MG,Total,60-64,1056897
MG,Total,65-69,828529
MG,Total,70-74,605136
MG,Total,75-79,413987
MG,Total,80-84,276907
MG,Total,85-89,151549
MG,Total,90+,100210
MS,Female,0,21390
MS,Female,1-4,85684
MS,Female,5-9,105435
MS,Female,10-14,99201
MS,Female,15-19,101316
MS,Female,20-24,110430
MS,Female,25-29,113850
MS,Female,30-34,111432
MS,Female,35-39,111815
MS,Female,40-44,102745
MS,Female,45-49,92221
MS,Female,50-54,84829
MS,Female,55-59,77116
MS,Female,60-64,62123
MS,Female,65-69,47917
MS,Female,70-74,34455
MS,Female,75-79,24026
MS,Female,80-84,15478
MS,Female,85-89,8202
MS,Female,90+,4944
MS,Male,0,22407
MS,Male,1-4,89709
MS,Male,5-9,110507
MS,Male,10-14,104145
MS,Male,15-19,106174
MS,Male,20-24,114034
MS,Male,25-29,115256
MS,Male,30-34,112616
MS,Male,35-39,108962
MS,Male,40-44,99281
MS,Male,45-49,88458
MS,Male,50-54,80263
MS,Male,55-59,70918
MS,Male,60-64,56284
MS,Male,65-69,42658
MS,Male,70-74,29484
MS,Male,75-79,19530
MS,Male,80-84,12417
MS,Male,85-89,6248
MS,Male,90+,3404
MS,Total,0,43797
MS,Total,1-4,175393
MS,Total,5-9,215942
MS,Total,10-14,203345
MS,Total,15-19,207490
MS,Total,20-24,224464
MS,Total,25-29,229106
MS,Total,30-34,224048
MS,Total,35-39,220777
MS,Total,40-44,202026
MS,Total,45-49,180680
MS,Total,50-54,165093
MS,Total,55-59,148034
MS,Total,60-64,118406
MS,Total,65-69,90574
MS,Total,70-74,63939
