Appendix 2a. 2020 All-cause and COVID-19 Deaths as Reported by the MOH,,,,
State,Sex,Age Group,All-cause Deaths,Covid-19 Deaths
MA,Female,25-29,217,10
MA,Female,30-34,304,12
MA,Female,35-39,418,31
MA,Female,40-44,529,39
MA,Female,45-49,617,46
MA,Female,50-54,787,85
MA,Female,55-59,1019,109
MA,Female,60-64,1253,166
MA,Female,65-69,1566,177
MA,Female,70-74,1742,242
MA,Female,75-79,1936,234
MA,Female,80-84,2080,241
MA,Female,85-89,1590,174
MA,Female,90,1964,135
MA,Male,0,796,5
MA,Male,1-4,138,3
MA,Male,5-9,84,3
MA,Male,10-14,142,3
MA,Male,15-19,593,6
MA,Male,20-24,845,9
MA,Male,25-29,807,18
MA,Male,30-34,915,26
MA,Male,35-39,1008,61
MA,Male,40-44,1051,65
MA,Male,45-49,1028,85
MA,Male,50-54,1298,106
MA,Male,55-59,1547,173
MA,Male,60-64,1897,232
MA,Male,65-69,2297,320
MA,Male,70-74,2550,360
MA,Male,75-79,2679,357
MA,Male,80-84,2464,299
MA,Male,85-89,1854,226
MA,Male,90,1656,164
MA,Total,0,1454,10
MA,Total,1-4,258,8
MA,Total,5-9,136,4
MA,Total,10-14,207,5
MA,Total,15-19,756,17
MA,Total,20-24,1056,19
MA,Total,25-29,1024,28
MA,Total,30-34,1219,38
MA,Total,35-39,1426,92
MA,Total,40-44,1580,104
MA,Total,45-49,1645,131
MA,Total,50-54,2085,191
MA,Total,55-59,2566,282
MA,Total,60-64,3150,398
MA,Total,65-69,3863,497
MA,Total,70-74,4292,602
MA,Total,75-79,4615,591
MA,Total,80-84,4544,540
MA,Total,85-89,3444,400
MA,Total,90,3620,299
MG,Female,0,1129,3
MG,Female,1-4,167,4
MG,Female,5-9,91,3
MG,Female,10-14,125,2
MG,Female,15-19,256,5
MG,Female,20-24,366,10
MG,Female,25-29,495,27
MG,Female,30-34,728,41
MG,Female,35-39,1167,78
MG,Female,40-44,1513,104
MG,Female,45-49,2041,149
MG,Female,50-54,2897,249
MG,Female,55-59,3727,344
MG,Female,60-64,4959,488
MG,Female,65-69,5851,610
MG,Female,70-74,6800,697
MG,Female,75-79,7601,759
MG,Female,80-84,9027,815
