sg_uf,Age Group,Female,Male,,
PI,60-64,0.0524,0.0705,,
PI,65-69,0.0503,0.0705,,
PI,70-74,0.0649,0.0782,,
PI,75-79,0.0503,0.0726,,
PI,80-84,0.0426,0.0608,,
PI,85-89,0.0314,0.0272,,
PI,90+,0.0154,0.0182,,
PR,0,0.0003,0.0003,,
PR,01-04,0.0002,0.0000,,
PR,05-09,0.0000,0.0002,,
PR,10-14,0.0004,0.0001,,
PR,15-19,0.0008,0.0008,,
PR,20-24,0.0018,0.0026,,
PR,25-29,0.0038,0.0055,,
PR,30-34,0.0069,0.0110,,
PR,35-39,0.0100,0.0185,,
PR,40-44,0.0157,0.0239,,
PR,45-49,0.0194,0.0357,,
PR,50-54,0.0328,0.0464,,
PR,55-59,0.0397,0.0587,,
PR,60-64,0.0513,0.0786,,
PR,65-69,0.0664,0.0803,,
PR,70-74,0.0586,0.0782,,
PR,75-79,0.0454,0.0626,,
PR,80-84,0.0357,0.0417,,
PR,85-89,0.0230,0.0216,,
PR,90+,0.0114,0.0099,,
RJ,0,0.0007,0.0003,,
RJ,01-04,0.0000,0.0001,,
RJ,05-09,0.0001,0.0000,,
RJ,10-14,0.0002,0.0000,,
RJ,15-19,0.0006,0.0006,,
RJ,20-24,0.0025,0.0017,,
RJ,25-29,0.0041,0.0040,,
RJ,30-34,0.0060,0.0071,,
RJ,35-39,0.0086,0.0148,,
RJ,40-44,0.0160,0.0216,,
RJ,45-49,0.0204,0.0259,,
RJ,50-54,0.0257,0.0380,,
RJ,55-59,0.0409,0.0492,,
RJ,60-64,0.0590,0.0645,,
RJ,65-69,0.0683,0.0757,,
RJ,70-74,0.0660,0.0738,,
RJ,75-79,0.0513,0.0568,,
RJ,80-84,0.0460,0.0437,,
RJ,85-89,0.0356,0.0277,,
RJ,90+,0.0254,0.0171,,
RN,0,0.0009,0.0000,,
RN,01-04,0.0004,0.0000,,
RN,05-09,0.0000,0.0004,,
RN,10-14,0.0000,0.0000,,
RN,15-19,0.0004,0.0004,,
RN,20-24,0.0036,0.0036,,
RN,25-29,0.0049,0.0067,,
RN,30-34,0.0076,0.0125,,
RN,35-39,0.0142,0.0160,,
RN,40-44,0.0205,0.0271,,
RN,45-49,0.0249,0.0311,,
RN,50-54,0.0307,0.0387,,
RN,55-59,0.0400,0.0592,,
RN,60-64,0.0480,0.0596,,
RN,65-69,0.0578,0.0663,,
RN,70-74,0.0645,0.0609,,
RN,75-79,0.0489,0.0605,,
RN,80-84,0.0378,0.0463,,
RN,85-89,0.0334,0.0218,,
RN,90+,0.0294,0.0209,,
RO,0,0.0000,0.0009,,
RO,01-04,0.0009,0.0000,,
RO,05-09,0.0000,0.0000,,
RO,10-14,0.0000,0.0005,,
RO,15-19,0.0027,0.0005,,
RO,20-24,0.0018,0.0027,,
RO,25-29,0.0054,0.0109,,
RO,30-34,0.0141,0.0163,,
RO,35-39,0.0168,0.0236,,
RO,40-44,0.0218,0.0349,,
RO,45-49,0.0245,0.0417,,
RO,50-54,0.0354,0.0626,,
RO,55-59,0.0449,0.0648,,
RO,60-64,0.0567,0.0807,,
RO,65-69,0.0562,0.0721,,
RO,70-74,0.0453,0.0752,,
RO,75-79,0.0381,0.0458,,
RO,80-84,0.0263,0.0290,,
RO,85-89,0.0113,0.0186,,
RO,90+,0.0082,0.0091,,
RR,0,0.0000,0.0000,,
RR,01-04,0.0000,0.0000,,
RR,05-09,0.0000,0.0000,,
RR,10-14,0.0000,0.0000,,
RR,15-19,0.0016,0.0000,,
RR,20-24,0.0031,0.0000,,
RR,25-29,0.0172,0.0047,,
RR,30-34,0.0218,0.0172,,
RR,35-39,0.0203,0.0328,,
RR,40-44,0.0296,0.0484,,
RR,45-49,0.0250,0.0546,,
RR,50-54,0.0359,0.0686,,
RR,55-59,0.0499,0.0499,,
RR,60-64,0.0686,0.0640,,
RR,65-69,0.0624,0.0624,,
RR,70-74,0.0499,0.0640,,
RR,75-79,0.0296,0.0390,,
RR,80-84,0.0125,0.0296,,
RR,85-89,0.0109,0.0172,,
RR,90+,0.0078,0.0016,,
RS,0,0.0001,0.0002,,
