Appendix 2a: 2021 Covid-19 Deaths as of April 30th as reported by Brasil.io (age and sex distribution according to hospitalized COVID-19 deaths),,,
State,Sex,Age Group,Covid Deaths
ES,Male,35-39,78
ES,Male,40-44,81
ES,Male,45-49,131
ES,Male,50-54,138
ES,Male,55-59,239
ES,Male,60-64,287
ES,Male,65-69,368
ES,Male,70-74,332
ES,Male,75-79,247
ES,Male,80-84,206
ES,Male,85-89,126
ES,Male,90+,81
ES,Total,0,0
ES,Total,01-04,0
ES,Total,05-09,0
ES,Total,10-14,0
ES,Total,15-19,8
ES,Total,20-24,25
ES,Total,25-29,43
ES,Total,30-34,68
ES,Total,35-39,131
ES,Total,40-44,164
ES,Total,45-49,232
ES,Total,50-54,267
ES,Total,55-59,405
ES,Total,60-64,579
ES,Total,65-69,667
ES,Total,70-74,609
ES,Total,75-79,503
ES,Total,80-84,362
ES,Total,85-89,229
ES,Total,90+,151
GO,Female,0,2
GO,Female,01-04,1
GO,Female,05-09,1
GO,Female,10-14,3
GO,Female,15-19,6
GO,Female,20-24,33
GO,Female,25-29,48
GO,Female,30-34,70
GO,Female,35-39,120
GO,Female,40-44,178
GO,Female,45-49,195
GO,Female,50-54,317
GO,Female,55-59,370
GO,Female,60-64,478
GO,Female,65-69,448
GO,Female,70-74,438
GO,Female,75-79,383
GO,Female,80-84,282
GO,Female,85-89,175
GO,Female,90+,95
GO,Male,0,4
GO,Male,01-04,0
GO,Male,05-09,0
GO,Male,10-14,0
GO,Male,15-19,3
GO,Male,20-24,22
GO,Male,25-29,60
GO,Male,30-34,100
GO,Male,35-39,175
GO,Male,40-44,260
GO,Male,45-49,338
GO,Male,50-54,408
GO,Male,55-59,499
GO,Male,60-64,562
GO,Male,65-69,613
GO,Male,70-74,544
GO,Male,75-79,424
GO,Male,80-84,324
GO,Male,85-89,174
GO,Male,90+,92
GO,Total,0,6
GO,Total,01-04,1
GO,Total,05-09,1
GO,Total,10-14,3
GO,Total,15-19,9
GO,Total,20-24,55
GO,Total,25-29,108
GO,Total,30-34,171
GO,Total,35-39,295
GO,Total,40-44,438
GO,Total,45-49,532
GO,Total,50-54,725
GO,Total,55-59,869
GO,Total,60-64,1040
GO,Total,65-69,1062
GO,Total,70-74,982
GO,Total,75-79,807
GO,Total,80-84,606
GO,Total,85-89,349
GO,Total,90+,187
MA,Female,0,1
MA,Female,01-04,0
MA,Female,05-09,0
MA,Female,10-14,3
MA,Female,15-19,7
MA,Female,20-24,8
MA,Female,25-29,23
MA,Female,30-34,19
MA,Female,35-39,36
MA,Female,40-44,38
MA,Female,45-49,66
MA,Female,50-54,73
MA,Female,55-59,93
MA,Female,60-64,174
MA,Female,65-69,176
MA,Female,70-74,176
MA,Female,75-79,125
MA,Female,80-84,87
MA,Female,85-89,54
MA,Female,90+,36
MA,Male,0,3
MA,Male,01-04,1
MA,Male,05-09,0
MA,Male,10-14,1
MA,Male,15-19,3
MA,Male,20-24,5
MA,Male,25-29,16
MA,Male,30-34,38
MA,Male,35-39,71
MA,Male,40-44,92
MA,Male,45-49,92
MA,Male,50-54,126
MA,Male,55-59,149
MA,Male,60-64,157
MA,Male,65-69,203
MA,Male,70-74,202
MA,Male,75-79,174
MA,Male,80-84,112
MA,Male,85-89,100
MA,Male,90+,36
MA,Total,0,4
MA,Total,01-04,1
MA,Total,05-09,0
MA,Total,10-14,4
MA,Total,15-19,9
MA,Total,20-24,13
MA,Total,25-29,39
MA,Total,30-34,57
MA,Total,35-39,108
MA,Total,40-44,129
MA,Total,45-49,157
MA,Total,50-54,199
MA,Total,55-59,242
MA,Total,60-64,331
