state,sex,age_group,death_month,all_cause_deaths
RJ,Female,40-44,4,209
RJ,Female,45-49,4,256
RJ,Female,50-54,4,349
RJ,Female,55-59,4,456
RJ,Female,60-64,4,631
RJ,Female,65-69,4,739
RJ,Female,70-74,4,759
RJ,Female,75-79,4,795
RJ,Female,80-84,4,962
RJ,Female,85-89,4,856
RJ,Female,90+,4,936
RJ,Female,0,5,120
RJ,Female,1-4,5,10
RJ,Female,5-9,5,3
RJ,Female,10-14,5,9
RJ,Female,15-19,5,34
RJ,Female,20-24,5,61
RJ,Female,25-29,5,60
RJ,Female,30-34,5,99
RJ,Female,35-39,5,151
RJ,Female,40-44,5,229
RJ,Female,45-49,5,292
RJ,Female,50-54,5,413
RJ,Female,55-59,5,589
RJ,Female,60-64,5,790
RJ,Female,65-69,5,942
RJ,Female,70-74,5,1083
RJ,Female,75-79,5,1054
RJ,Female,80-84,5,1140
RJ,Female,85-89,5,1018
RJ,Female,90+,5,1215
RJ,Female,0,6,95
RJ,Female,1-4,6,9
RJ,Female,5-9,6,6
RJ,Female,10-14,6,8
RJ,Female,15-19,6,26
RJ,Female,20-24,6,35
RJ,Female,25-29,6,48
RJ,Female,30-34,6,61
RJ,Female,35-39,6,125
RJ,Female,40-44,6,155
RJ,Female,45-49,6,202
RJ,Female,50-54,6,295
RJ,Female,55-59,6,405
RJ,Female,60-64,6,563
RJ,Female,65-69,6,730
RJ,Female,70-74,6,792
RJ,Female,75-79,6,715
RJ,Female,80-84,6,847
RJ,Female,85-89,6,792
RJ,Female,90+,6,851
RJ,Female,0,7,85
RJ,Female,1-4,7,11
RJ,Female,5-9,7,4
RJ,Female,10-14,7,10
RJ,Female,15-19,7,25
RJ,Female,20-24,7,30
RJ,Female,25-29,7,54
RJ,Female,30-34,7,56
RJ,Female,35-39,7,110
RJ,Female,40-44,7,154
RJ,Female,45-49,7,198
RJ,Female,50-54,7,245
RJ,Female,55-59,7,406
RJ,Female,60-64,7,533
RJ,Female,65-69,7,606
RJ,Female,70-74,7,699
RJ,Female,75-79,7,657
RJ,Female,80-84,7,798
RJ,Female,85-89,7,781
RJ,Female,90+,7,823
RJ,Female,0,8,94
RJ,Female,1-4,8,16
RJ,Female,5-9,8,7
RJ,Female,10-14,8,9
RJ,Female,15-19,8,30
RJ,Female,20-24,8,36
RJ,Female,25-29,8,42
RJ,Female,30-34,8,63
RJ,Female,35-39,8,101
RJ,Female,40-44,8,119
RJ,Female,45-49,8,178
RJ,Female,50-54,8,255
RJ,Female,55-59,8,397
RJ,Female,60-64,8,531
RJ,Female,65-69,8,643
RJ,Female,70-74,8,704
RJ,Female,75-79,8,759
RJ,Female,80-84,8,857
RJ,Female,85-89,8,792
RJ,Female,90+,8,874
RJ,Female,0,9,78
RJ,Female,1-4,9,18
RJ,Female,5-9,9,6
RJ,Female,10-14,9,5
RJ,Female,15-19,9,19
RJ,Female,20-24,9,47
RJ,Female,25-29,9,51
RJ,Female,30-34,9,65
RJ,Female,35-39,9,99
RJ,Female,40-44,9,139
RJ,Female,45-49,9,200
RJ,Female,50-54,9,232
RJ,Female,55-59,9,351
RJ,Female,60-64,9,518
RJ,Female,65-69,9,663
RJ,Female,70-74,9,681
RJ,Female,75-79,9,729
RJ,Female,80-84,9,750
RJ,Female,85-89,9,677
RJ,Female,90+,9,781
RJ,Female,0,10,90
RJ,Female,1-4,10,14
RJ,Female,5-9,10,3
RJ,Female,10-14,10,8
RJ,Female,15-19,10,22
RJ,Female,20-24,10,38
RJ,Female,25-29,10,52
RJ,Female,30-34,10,66
RJ,Female,35-39,10,96
RJ,Female,40-44,10,137
RJ,Female,45-49,10,211
RJ,Female,50-54,10,262
RJ,Female,55-59,10,351
RJ,Female,60-64,10,532
RJ,Female,65-69,10,608
RJ,Female,70-74,10,695
RJ,Female,75-79,10,680
RJ,Female,80-84,10,773
RJ,Female,85-89,10,726
RJ,Female,90+,10,846
RJ,Female,0,11,87
RJ,Female,1-4,11,20
RJ,Female,5-9,11,6
RJ,Female,10-14,11,10
RJ,Female,15-19,11,20
RJ,Female,20-24,11,42
RJ,Female,25-29,11,52
RJ,Female,30-34,11,67
RJ,Female,35-39,11,105
RJ,Female,40-44,11,143
RJ,Female,45-49,11,179
RJ,Female,50-54,11,265
RJ,Female,55-59,11,409
RJ,Female,60-64,11,551
RJ,Female,65-69,11,716
RJ,Female,70-74,11,772
RJ,Female,75-79,11,781
RJ,Female,80-84,11,851
RJ,Female,85-89,11,733
RJ,Female,90+,11,933
RJ,Female,0,12,93
RJ,Female,1-4,12,18
RJ,Female,5-9,12,7
RJ,Female,10-14,12,10
RJ,Female,15-19,12,28
RJ,Female,20-24,12,63
RJ,Female,25-29,12,63
RJ,Female,30-34,12,89
RJ,Female,35-39,12,135
RJ,Female,40-44,12,184
RJ,Female,45-49,12,234
RJ,Female,50-54,12,349
RJ,Female,55-59,12,485
RJ,Female,60-64,12,764
RJ,Female,65-69,12,849
RJ,Female,70-74,12,977
RJ,Female,75-79,12,935
RJ,Female,80-84,12,1040
RJ,Female,85-89,12,972
RJ,Female,90+,12,1109
RJ,Male,0,1,120
RJ,Male,1-4,1,20
RJ,Male,5-9,1,7
RJ,Male,10-14,1,7
RJ,Male,15-19,1,112
RJ,Male,20-24,1,230
RJ,Male,25-29,1,163
RJ,Male,30-34,1,151
RJ,Male,35-39,1,178
RJ,Male,40-44,1,187
RJ,Male,45-49,1,255
RJ,Male,50-54,1,369
RJ,Male,55-59,1,449
RJ,Male,60-64,1,602
RJ,Male,65-69,1,698
RJ,Male,70-74,1,662
RJ,Male,75-79,1,572
RJ,Male,80-84,1,579
RJ,Male,85-89,1,440
RJ,Male,90+,1,339
RJ,Male,0,2,122
RJ,Male,1-4,2,14
RJ,Male,5-9,2,5
RJ,Male,10-14,2,11
RJ,Male,15-19,2,135
RJ,Male,20-24,2,209
RJ,Male,25-29,2,161
RJ,Male,30-34,2,158
RJ,Male,35-39,2,156
RJ,Male,40-44,2,177
RJ,Male,45-49,2,225
RJ,Male,50-54,2,292
RJ,Male,55-59,2,446
RJ,Male,60-64,2,594
RJ,Male,65-69,2,641
RJ,Male,70-74,2,612
RJ,Male,75-79,2,616
RJ,Male,80-84,2,489
RJ,Male,85-89,2,382
RJ,Male,90+,2,286
RJ,Male,0,3,122
RJ,Male,1-4,3,17
RJ,Male,5-9,3,7
RJ,Male,10-14,3,16
RJ,Male,15-19,3,128
RJ,Male,20-24,3,208
RJ,Male,25-29,3,131
RJ,Male,30-34,3,153
RJ,Male,35-39,3,180
RJ,Male,40-44,3,203
RJ,Male,45-49,3,276
RJ,Male,50-54,3,364
RJ,Male,55-59,3,476
RJ,Male,60-64,3,617
RJ,Male,65-69,3,732
RJ,Male,70-74,3,700
RJ,Male,75-79,3,646
RJ,Male,80-84,3,589
RJ,Male,85-89,3,456
RJ,Male,90+,3,352
RJ,Male,0,4,107
RJ,Male,1-4,4,18
RJ,Male,5-9,4,5
RJ,Male,10-14,4,19
RJ,Male,15-19,4,128
RJ,Male,20-24,4,205
RJ,Male,25-29,4,186
